epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1,lr
1,0.9915083771988576,0.9107478054267997,0.5755735492577598,0.4427777661768949,0.001
2,0.8855869114923621,0.8618087712248006,0.6170715249662618,0.46643876615041974,0.001
3,0.8360330518317193,0.8225057203920908,0.6477732793522267,0.531764679871315,0.001
4,0.8036005538687462,0.7997046547380053,0.652834008097166,0.5369067267117671,0.001
5,0.7804995562578942,0.8739085067943362,0.6248313090418354,0.5209409784730689,0.001
6,0.768652927739723,0.7758978729547277,0.6724021592442645,0.6117507394346396,0.001
7,0.7528106245656666,0.8073572791539706,0.6285425101214575,0.5460108590409847,0.001
8,0.7393834481790261,0.7490726675984026,0.6835357624831309,0.6683573026630009,0.001
9,0.7295090149506916,0.8105894752681336,0.623144399460189,0.6123851551644155,0.001
10,0.7230695385676851,0.7866453699737426,0.667004048582996,0.6153207976130759,0.001
11,0.7174278667308371,0.7234671656017201,0.6963562753036437,0.6665571456843316,0.001
12,0.7027478432926926,0.7274520490494495,0.6980431848852902,0.68297670518851,0.001
13,0.6964131948007741,0.7507864046997709,0.689608636977058,0.6859268354856953,0.001
14,0.6895291308466434,0.757949432461207,0.6713900134952766,0.6383080414370439,0.001
15,0.681165422849361,0.8871518003474042,0.5654520917678812,0.5596976166649927,0.001
16,0.6801636297768571,0.8199273233230298,0.6636302294197031,0.5870562705628046,0.001
17,0.6696951740706353,0.7270103817687504,0.6929824561403509,0.6881053083018087,0.001
18,0.6624011694128428,0.6951970616493791,0.708502024291498,0.6891279161604813,0.001
19,0.6583094876610904,0.7737591114604039,0.6521592442645074,0.6296939622460535,0.001
20,0.6479100205372914,0.7072558151243831,0.7051282051282052,0.6666027204859986,0.001
21,0.6433742977284725,0.7356695814734368,0.6973684210526315,0.6577247443176473,0.001
22,0.6357775764428649,0.7326527482424027,0.6939946018893387,0.6632487723354399,0.001
23,0.6360299391602436,0.7106705914463913,0.7020917678812416,0.674748106143537,0.001
24,0.6285774786890819,0.7290631671022629,0.6882591093117408,0.6763133576211546,0.001
25,0.6206197653246028,0.682324993143841,0.7236842105263158,0.7091836679570628,0.001
26,0.6179162344113196,0.6902284265047143,0.7209851551956815,0.6832218313276834,0.001
27,0.6160351803726201,0.8469503369086828,0.6788124156545209,0.6074230328551213,0.001
28,0.6058110970304125,0.6672809725670036,0.7321187584345479,0.7139145542335141,0.001
29,0.5986227286806367,0.7031652591971733,0.7101889338731444,0.6911079359759025,0.001
30,0.594895427476038,0.684623035663857,0.729757085020243,0.7163771330620552,0.001
