,precision,recall,f1-score,support
Accessory Gift Set,1.0,1.0,1.0,12.0
Baby Dolls,0.0,0.0,0.0,0.0
Backpacks,0.8596491228070176,0.9074074074074074,0.8828828828828829,54.0
Bangle,1.0,0.07692307692307693,0.14285714285714285,13.0
Basketballs,1.0,1.0,1.0,3.0
Belts,0.8032786885245902,0.9423076923076923,0.8672566371681416,52.0
Blazers,0.0,0.0,0.0,1.0
Body Wash and Scrub,0.0,0.0,0.0,0.0
Booties,0.0,0.0,0.0,3.0
Boxers,1.0,0.5,0.6666666666666666,2.0
Bra,0.8787878787878788,1.0,0.9354838709677419,29.0
Bracelet,0.0,0.0,0.0,4.0
Briefs,0.9464285714285714,0.9464285714285714,0.9464285714285714,56.0
Camisoles,0.0,0.0,0.0,0.0
Capris,0.5454545454545454,0.42857142857142855,0.48,14.0
Caps,0.9047619047619048,0.76,0.8260869565217391,25.0
Casual Shoes,0.6901408450704225,0.5384615384615384,0.6049382716049383,182.0
Churidar,0.75,1.0,0.8571428571428571,3.0
Clothing Set,0.0,0.0,0.0,2.0
Clutches,0.38461538461538464,0.45454545454545453,0.4166666666666667,11.0
Compact,0.0,0.0,0.0,0.0
Concealer,0.0,0.0,0.0,0.0
Cufflinks,0.0,0.0,0.0,6.0
Cushion Covers,0.0,0.0,0.0,0.0
Deodorant,0.7692307692307693,0.45454545454545453,0.5714285714285714,22.0
Dresses,0.5333333333333333,0.2857142857142857,0.37209302325581395,28.0
Duffel Bag,0.8571428571428571,0.5454545454545454,0.6666666666666666,11.0
Dupatta,1.0,0.16666666666666666,0.2857142857142857,6.0
Earrings,0.0,0.0,0.0,0.0
Eyeshadow,1.0,1.0,1.0,1.0
Flats,1.0,0.08571428571428572,0.15789473684210525,35.0
Flip Flops,0.4276315789473684,0.9420289855072463,0.5882352941176471,69.0
Footballs,0.0,0.0,0.0,0.0
Formal Shoes,0.9444444444444444,0.53125,0.68,64.0
Foundation and Primer,0.0,0.0,0.0,0.0
Fragrance Gift Set,0.5,0.125,0.2,8.0
Free Gifts,0.0,0.0,0.0,4.0
Gloves,0.2,1.0,0.3333333333333333,1.0
Handbags,0.8333333333333334,0.9036144578313253,0.8670520231213873,83.0
Hat,0.0,0.0,0.0,0.0
Headband,0.0,0.0,0.0,1.0
Heels,0.7419354838709677,0.6666666666666666,0.7022900763358778,69.0
Highlighter and Blush,0.0,0.0,0.0,0.0
Innerwear Vests,1.0,0.4666666666666667,0.6363636363636364,15.0
Ipad,0.0,0.0,0.0,0.0
Jackets,0.8571428571428571,0.2727272727272727,0.41379310344827586,22.0
Jeans,0.76,0.9661016949152542,0.8507462686567164,59.0
Jeggings,0.0,0.0,0.0,2.0
Jewellery Set,0.5,1.0,0.6666666666666666,1.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.5,1.0,0.6666666666666666,1.0
Key chain,0.0,0.0,0.0,1.0
Kurta Sets,0.25,0.5,0.3333333333333333,2.0
Kurtas,0.8347826086956521,0.8888888888888888,0.8609865470852018,108.0
Kurtis,1.0,0.14285714285714285,0.25,7.0
Laptop Bag,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Leggings,0.6,0.3333333333333333,0.42857142857142855,9.0
Lehenga Choli,0.0,0.0,0.0,0.0
Lip Gloss,1.0,1.0,1.0,1.0
Lip Liner,0.0,0.0,0.0,1.0
Lip Plumper,0.0,0.0,0.0,1.0
Lipstick,1.0,0.5,0.6666666666666666,4.0
Lounge Pants,0.0,0.0,0.0,2.0
Lounge Shorts,0.0,0.0,0.0,4.0
Lounge Tshirts,0.0,0.0,0.0,0.0
Messenger Bag,0.0,0.0,0.0,5.0
Mobile Pouch,0.0,0.0,0.0,2.0
Mufflers,1.0,0.25,0.4,4.0
Nail Polish,1.0,0.3333333333333333,0.5,3.0
