,precision,recall,f1-score,support
Accessory Gift Set,1.0,1.0,1.0,12.0
Baby Dolls,0.0,0.0,0.0,0.0
Backpacks,0.94,0.8703703703703703,0.9038461538461539,54.0
Bangle,0.5,0.15384615384615385,0.23529411764705882,13.0
Basketballs,1.0,1.0,1.0,3.0
Belts,0.9607843137254902,0.9423076923076923,0.9514563106796117,52.0
Blazers,0.0,0.0,0.0,1.0
Body Wash and Scrub,0.0,0.0,0.0,0.0
Booties,1.0,1.0,1.0,3.0
Boxers,1.0,0.5,0.6666666666666666,2.0
Bra,1.0,1.0,1.0,29.0
Bracelet,0.0,0.0,0.0,4.0
Briefs,1.0,0.9107142857142857,0.9532710280373832,56.0
Camisoles,0.0,0.0,0.0,0.0
Capris,0.8888888888888888,0.5714285714285714,0.6956521739130435,14.0
Caps,0.88,0.88,0.88,25.0
Casual Shoes,0.8023255813953488,0.7582417582417582,0.7796610169491526,182.0
Churidar,1.0,0.3333333333333333,0.5,3.0
Clothing Set,0.0,0.0,0.0,2.0
Clutches,0.5555555555555556,0.45454545454545453,0.5,11.0
Compact,0.0,0.0,0.0,0.0
Concealer,0.0,0.0,0.0,0.0
Cufflinks,0.8571428571428571,1.0,0.9230769230769231,6.0
Cushion Covers,0.0,0.0,0.0,0.0
Deodorant,0.7916666666666666,0.8636363636363636,0.8260869565217391,22.0
Dresses,0.4358974358974359,0.6071428571428571,0.5074626865671642,28.0
Duffel Bag,1.0,0.36363636363636365,0.5333333333333333,11.0
Dupatta,0.4,0.3333333333333333,0.36363636363636365,6.0
Earrings,0.0,0.0,0.0,0.0
Eyeshadow,1.0,1.0,1.0,1.0
Flats,0.42857142857142855,0.08571428571428572,0.14285714285714285,35.0
Flip Flops,0.9,0.782608695652174,0.8372093023255814,69.0
Footballs,0.0,0.0,0.0,0.0
Formal Shoes,0.9629629629629629,0.8125,0.8813559322033898,64.0
Foundation and Primer,0.0,0.0,0.0,0.0
Fragrance Gift Set,0.8,0.5,0.6153846153846154,8.0
Free Gifts,0.0,0.0,0.0,4.0
Gloves,1.0,1.0,1.0,1.0
Handbags,0.7835051546391752,0.9156626506024096,0.8444444444444444,83.0
Hat,0.0,0.0,0.0,0.0
Headband,1.0,1.0,1.0,1.0
Heels,0.6237623762376238,0.9130434782608695,0.7411764705882353,69.0
Highlighter and Blush,0.0,0.0,0.0,0.0
Innerwear Vests,1.0,0.6,0.75,15.0
Ipad,0.0,0.0,0.0,0.0
Jackets,0.5384615384615384,0.3181818181818182,0.4,22.0
Jeans,0.8194444444444444,1.0,0.9007633587786259,59.0
Jeggings,0.0,0.0,0.0,2.0
Jewellery Set,0.5,1.0,0.6666666666666666,1.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,1.0,1.0,1.0,1.0
Key chain,0.0,0.0,0.0,1.0
Kurta Sets,0.2,0.5,0.2857142857142857,2.0
Kurtas,0.8362068965517241,0.8981481481481481,0.8660714285714286,108.0
Kurtis,0.25,0.14285714285714285,0.18181818181818182,7.0
Laptop Bag,1.0,0.3333333333333333,0.5,6.0
Leggings,0.5384615384615384,0.7777777777777778,0.6363636363636364,9.0
Lehenga Choli,0.0,0.0,0.0,0.0
Lip Gloss,1.0,1.0,1.0,1.0
Lip Liner,1.0,1.0,1.0,1.0
Lip Plumper,1.0,1.0,1.0,1.0
Lipstick,1.0,1.0,1.0,4.0
Lounge Pants,0.0,0.0,0.0,2.0
Lounge Shorts,0.0,0.0,0.0,4.0
Lounge Tshirts,0.0,0.0,0.0,0.0
Messenger Bag,0.0,0.0,0.0,5.0
Mobile Pouch,0.25,0.5,0.3333333333333333,2.0
Mufflers,0.5,0.25,0.3333333333333333,4.0
Nail Polish,1.0,0.6666666666666666,0.8,3.0
Necklace and Chains,1.0,0.6666666666666666,0.8,3.0
Nehru Jackets,0.0,0.0,0.0,0.0
