,precision,recall,f1-score,support
Accessory Gift Set,0.7692307692307693,0.8333333333333334,0.8,12.0
Baby Dolls,0.0,0.0,0.0,0.0
Backpacks,0.7704918032786885,0.8703703703703703,0.8173913043478261,54.0
Bangle,1.0,0.15384615384615385,0.26666666666666666,13.0
Basketballs,0.0,0.0,0.0,3.0
Belts,0.9387755102040817,0.8846153846153846,0.9108910891089109,52.0
Blazers,0.0,0.0,0.0,1.0
Body Wash and Scrub,0.0,0.0,0.0,0.0
Booties,0.0,0.0,0.0,3.0
Boxers,0.0,0.0,0.0,2.0
Bra,0.8787878787878788,1.0,0.9354838709677419,29.0
Bracelet,0.0,0.0,0.0,4.0
Briefs,0.9411764705882353,0.8571428571428571,0.897196261682243,56.0
Camisoles,0.0,0.0,0.0,0.0
Capris,0.625,0.35714285714285715,0.45454545454545453,14.0
Caps,0.85,0.68,0.7555555555555555,25.0
Casual Shoes,0.62,0.6813186813186813,0.6492146596858639,182.0
Churidar,0.0,0.0,0.0,3.0
Clothing Set,0.0,0.0,0.0,2.0
Clutches,0.2,0.18181818181818182,0.19047619047619047,11.0
Compact,0.0,0.0,0.0,0.0
Concealer,0.0,0.0,0.0,0.0
Cufflinks,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
Cushion Covers,0.0,0.0,0.0,0.0
Deodorant,0.6666666666666666,0.7272727272727273,0.6956521739130435,22.0
Dresses,0.2,0.03571428571428571,0.06060606060606061,28.0
Duffel Bag,0.0,0.0,0.0,11.0
Dupatta,0.0,0.0,0.0,6.0
Earrings,0.0,0.0,0.0,0.0
Eyeshadow,0.0,0.0,0.0,1.0
Flats,0.0,0.0,0.0,35.0
Flip Flops,0.627906976744186,0.782608695652174,0.6967741935483871,69.0
Footballs,0.0,0.0,0.0,0.0
Formal Shoes,0.8,0.8125,0.8062015503875969,64.0
Foundation and Primer,0.0,0.0,0.0,0.0
Fragrance Gift Set,0.0,0.0,0.0,8.0
Free Gifts,0.0,0.0,0.0,4.0
Gloves,0.0,0.0,0.0,1.0
Handbags,0.6836734693877551,0.8072289156626506,0.7403314917127072,83.0
Hat,0.0,0.0,0.0,0.0
Headband,0.0,0.0,0.0,1.0
Heels,0.5315315315315315,0.855072463768116,0.6555555555555556,69.0
Highlighter and Blush,0.0,0.0,0.0,0.0
Innerwear Vests,1.0,0.06666666666666667,0.125,15.0
Ipad,0.0,0.0,0.0,0.0
Jackets,1.0,0.045454545454545456,0.08695652173913043,22.0
Jeans,0.6714285714285714,0.7966101694915254,0.7286821705426356,59.0
Jeggings,0.0,0.0,0.0,2.0
Jewellery Set,0.0,0.0,0.0,1.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,1.0,1.0,1.0,1.0
Key chain,0.0,0.0,0.0,1.0
Kurta Sets,0.1111111111111111,0.5,0.18181818181818182,2.0
Kurtas,0.6036585365853658,0.9166666666666666,0.7279411764705882,108.0
Kurtis,0.0,0.0,0.0,7.0
Laptop Bag,0.0,0.0,0.0,6.0
Leggings,0.1875,0.3333333333333333,0.24,9.0
Lehenga Choli,0.0,0.0,0.0,0.0
Lip Gloss,0.0,0.0,0.0,1.0
Lip Liner,0.0,0.0,0.0,1.0
Lip Plumper,0.0,0.0,0.0,1.0
Lipstick,0.0,0.0,0.0,4.0
Lounge Pants,0.0,0.0,0.0,2.0
Lounge Shorts,0.0,0.0,0.0,4.0
Lounge Tshirts,0.0,0.0,0.0,0.0
Messenger Bag,0.0,0.0,0.0,5.0
Mobile Pouch,0.3333333333333333,0.5,0.4,2.0
Mufflers,1.0,0.25,0.4,4.0
Nail Polish,1.0,0.6666666666666666,0.8,3.0
Necklace and Chains,0.5,0.3333333333333333,0.4,3.0
