,precision,recall,f1-score,support
Accessory Gift Set,1.0,0.8333333333333334,0.9090909090909091,12.0
Baby Dolls,0.0,0.0,0.0,0.0
Backpacks,0.8035714285714286,0.8333333333333334,0.8181818181818182,54.0
Bangle,1.0,0.15384615384615385,0.26666666666666666,13.0
Basketballs,0.0,0.0,0.0,3.0
Belts,0.8421052631578947,0.9230769230769231,0.8807339449541285,52.0
Blazers,0.0,0.0,0.0,1.0
Body Wash and Scrub,0.0,0.0,0.0,0.0
Booties,0.0,0.0,0.0,3.0
Boxers,0.0,0.0,0.0,2.0
Bra,0.9666666666666667,1.0,0.9830508474576272,29.0
Bracelet,0.0,0.0,0.0,4.0
Briefs,0.9230769230769231,0.8571428571428571,0.8888888888888888,56.0
Camisoles,0.0,0.0,0.0,0.0
Capris,1.0,0.14285714285714285,0.25,14.0
Caps,0.85,0.68,0.7555555555555555,25.0
Casual Shoes,0.5502392344497608,0.6318681318681318,0.5882352941176471,182.0
Churidar,0.0,0.0,0.0,3.0
Clothing Set,0.0,0.0,0.0,2.0
Clutches,0.2857142857142857,0.18181818181818182,0.2222222222222222,11.0
Compact,0.0,0.0,0.0,0.0
Concealer,0.0,0.0,0.0,0.0
Cufflinks,0.375,0.5,0.42857142857142855,6.0
Cushion Covers,0.0,0.0,0.0,0.0
Deodorant,0.42105263157894735,0.7272727272727273,0.5333333333333333,22.0
Dresses,0.0,0.0,0.0,28.0
Duffel Bag,0.0,0.0,0.0,11.0
Dupatta,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Earrings,0.0,0.0,0.0,0.0
Eyeshadow,0.0,0.0,0.0,1.0
Flats,0.0,0.0,0.0,35.0
Flip Flops,0.647887323943662,0.6666666666666666,0.6571428571428571,69.0
Footballs,0.0,0.0,0.0,0.0
Formal Shoes,0.7868852459016393,0.75,0.768,64.0
Foundation and Primer,0.0,0.0,0.0,0.0
Fragrance Gift Set,1.0,0.125,0.2222222222222222,8.0
Free Gifts,0.0,0.0,0.0,4.0
Gloves,0.0,0.0,0.0,1.0
Handbags,0.6701030927835051,0.7831325301204819,0.7222222222222222,83.0
Hat,0.0,0.0,0.0,0.0
Headband,0.0,0.0,0.0,1.0
Heels,0.5,0.9420289855072463,0.6532663316582915,69.0
Highlighter and Blush,0.0,0.0,0.0,0.0
Innerwear Vests,0.0,0.0,0.0,15.0
Ipad,0.0,0.0,0.0,0.0
Jackets,0.0,0.0,0.0,22.0
Jeans,0.7857142857142857,0.7457627118644068,0.7652173913043478,59.0
Jeggings,0.0,0.0,0.0,2.0
Jewellery Set,0.0,0.0,0.0,1.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.5,1.0,0.6666666666666666,1.0
Key chain,0.0,0.0,0.0,1.0
Kurta Sets,0.0,0.0,0.0,2.0
Kurtas,0.643312101910828,0.9351851851851852,0.7622641509433963,108.0
Kurtis,0.0,0.0,0.0,7.0
Laptop Bag,0.0,0.0,0.0,6.0
Leggings,0.0,0.0,0.0,9.0
Lehenga Choli,0.0,0.0,0.0,0.0
Lip Gloss,0.0,0.0,0.0,1.0
Lip Liner,0.0,0.0,0.0,1.0
Lip Plumper,0.0,0.0,0.0,1.0
Lipstick,0.0,0.0,0.0,4.0
Lounge Pants,0.0,0.0,0.0,2.0
Lounge Shorts,0.0,0.0,0.0,4.0
Lounge Tshirts,0.0,0.0,0.0,0.0
Messenger Bag,0.0,0.0,0.0,5.0
Mobile Pouch,0.0,0.0,0.0,2.0
Mufflers,1.0,0.25,0.4,4.0
Nail Polish,0.0,0.0,0.0,3.0
Necklace and Chains,1.0,0.3333333333333333,0.5,3.0
Nehru Jackets,0.0,0.0,0.0,0.0
Night suits,0.0,0.0,0.0,9.0
Nightdress,0.0,0.0,0.0,1.0
Patiala,0.0,0.0,0.0,4.0
Pendant,0.07142857142857142,0.5,0.125,2.0
Perfume and Body Mist,0.32558139534883723,0.42424242424242425,0.3684210526315789,33.0
Rain Jacket,0.0,0.0,0.0,0.0
Rain Trousers,0.0,0.0,0.0,0.0
Ring,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0
Rompers,0.0,0.0,0.0,4.0
Rucksacks,0.0,0.0,0.0,0.0
Salwar,0.0,0.0,0.0,2.0
Salwar and Dupatta,0.0,0.0,0.0,1.0
Sandals,0.696969696969697,0.2875,0.40707964601769914,80.0
Sarees,0.5666666666666667,0.9444444444444444,0.7083333333333334,18.0
Scarves,0.5,0.3,0.375,10.0
Shapewear,0.0,0.0,0.0,0.0
Shirts,0.7647058823529411,0.7934272300469484,0.7788018433179723,213.0
Shoe Accessories,0.0,0.0,0.0,2.0
Shoe Laces,0.0,0.0,0.0,0.0
