,precision,recall,f1-score,support
Accessory Gift Set,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Baby Dolls,0.0,0.0,0.0,0.0
Backpacks,0.7758620689655172,0.8333333333333334,0.8035714285714286,54.0
Bangle,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
Basketballs,0.0,0.0,0.0,3.0
Belts,0.9591836734693877,0.9038461538461539,0.9306930693069307,52.0
Blazers,0.0,0.0,0.0,1.0
Body Wash and Scrub,0.0,0.0,0.0,0.0
Booties,0.0,0.0,0.0,3.0
Boxers,0.0,0.0,0.0,2.0
Bra,0.9666666666666667,1.0,0.9830508474576272,29.0
Bracelet,0.0,0.0,0.0,4.0
Briefs,0.9038461538461539,0.8392857142857143,0.8703703703703703,56.0
Camisoles,0.0,0.0,0.0,0.0
Capris,0.16666666666666666,0.07142857142857142,0.1,14.0
Caps,0.72,0.72,0.72,25.0
Casual Shoes,0.5338345864661654,0.7802197802197802,0.6339285714285714,182.0
Churidar,1.0,0.6666666666666666,0.8,3.0
Clothing Set,0.0,0.0,0.0,2.0
Clutches,0.15789473684210525,0.2727272727272727,0.2,11.0
Compact,0.0,0.0,0.0,0.0
Concealer,0.0,0.0,0.0,0.0
Cufflinks,1.0,0.8333333333333334,0.9090909090909091,6.0
Cushion Covers,0.0,0.0,0.0,0.0
Deodorant,0.68,0.7727272727272727,0.723404255319149,22.0
Dresses,0.35294117647058826,0.21428571428571427,0.26666666666666666,28.0
Duffel Bag,0.0,0.0,0.0,11.0
Dupatta,0.5,0.16666666666666666,0.25,6.0
Earrings,0.0,0.0,0.0,0.0
Eyeshadow,0.0,0.0,0.0,1.0
Flats,0.6666666666666666,0.05714285714285714,0.10526315789473684,35.0
Flip Flops,0.6973684210526315,0.7681159420289855,0.7310344827586207,69.0
Footballs,0.0,0.0,0.0,0.0
Formal Shoes,0.9387755102040817,0.71875,0.8141592920353983,64.0
Foundation and Primer,0.0,0.0,0.0,0.0
Fragrance Gift Set,0.4,0.25,0.3076923076923077,8.0
Free Gifts,0.0,0.0,0.0,4.0
Gloves,0.0,0.0,0.0,1.0
Handbags,0.7303370786516854,0.7831325301204819,0.7558139534883721,83.0
Hat,0.0,0.0,0.0,0.0
Headband,1.0,1.0,1.0,1.0
Heels,0.580952380952381,0.8840579710144928,0.7011494252873564,69.0
Highlighter and Blush,0.0,0.0,0.0,0.0
Innerwear Vests,0.6,0.4,0.48,15.0
Ipad,0.0,0.0,0.0,0.0
Jackets,0.3333333333333333,0.09090909090909091,0.14285714285714285,22.0
Jeans,0.7313432835820896,0.8305084745762712,0.7777777777777778,59.0
Jeggings,0.0,0.0,0.0,2.0
Jewellery Set,0.0,0.0,0.0,1.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.3333333333333333,1.0,0.5,1.0
Key chain,0.0,0.0,0.0,1.0
Kurta Sets,0.0,0.0,0.0,2.0
Kurtas,0.6712328767123288,0.9074074074074074,0.7716535433070866,108.0
Kurtis,0.0,0.0,0.0,7.0
Laptop Bag,0.0,0.0,0.0,6.0
Leggings,0.45454545454545453,0.5555555555555556,0.5,9.0
Lehenga Choli,0.0,0.0,0.0,0.0
Lip Gloss,0.0,0.0,0.0,1.0
Lip Liner,0.0,0.0,0.0,1.0
Lip Plumper,0.0,0.0,0.0,1.0
Lipstick,0.0,0.0,0.0,4.0
Lounge Pants,0.0,0.0,0.0,2.0
Lounge Shorts,0.0,0.0,0.0,4.0
Lounge Tshirts,0.0,0.0,0.0,0.0
Messenger Bag,0.0,0.0,0.0,5.0
Mobile Pouch,0.3333333333333333,0.5,0.4,2.0
Mufflers,1.0,0.5,0.6666666666666666,4.0
Nail Polish,1.0,0.6666666666666666,0.8,3.0
Necklace and Chains,0.5,0.6666666666666666,0.5714285714285714,3.0
Nehru Jackets,0.0,0.0,0.0,0.0
Night suits,0.5,0.2222222222222222,0.3076923076923077,9.0
Nightdress,0.0,0.0,0.0,1.0
Patiala,1.0,0.5,0.6666666666666666,4.0
Pendant,0.1111111111111111,0.5,0.18181818181818182,2.0
Perfume and Body Mist,0.5945945945945946,0.6666666666666666,0.6285714285714286,33.0
Rain Jacket,0.0,0.0,0.0,0.0
Rain Trousers,0.0,0.0,0.0,0.0
Ring,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0
Rompers,0.0,0.0,0.0,4.0
Rucksacks,0.0,0.0,0.0,0.0
Salwar,0.6666666666666666,1.0,0.8,2.0
Salwar and Dupatta,0.0,0.0,0.0,1.0
Sandals,0.8292682926829268,0.425,0.5619834710743802,80.0
Sarees,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
Scarves,0.6,0.3,0.4,10.0
Shapewear,0.0,0.0,0.0,0.0
Shirts,0.7735042735042735,0.8497652582159625,0.8098434004474273,213.0
Shoe Accessories,0.0,0.0,0.0,2.0
Shoe Laces,0.0,0.0,0.0,0.0
Shorts,0.7391304347826086,0.723404255319149,0.7311827956989247,47.0
Shrug,0.0,0.0,0.0,0.0
Skirts,1.0,0.3333333333333333,0.5,6.0
Socks,0.8636363636363636,0.9047619047619048,0.8837209302325582,42.0
Sports Sandals,0.0,0.0,0.0,5.0
Sports Shoes,0.7567567567567568,0.5833333333333334,0.6588235294117647,144.0
Stockings,0.5,1.0,0.6666666666666666,2.0
Stoles,0.0,0.0,0.0,5.0
Sunglasses,0.967741935483871,1.0,0.9836065573770492,90.0
Suspenders,1.0,1.0,1.0,1.0
Sweaters,0.5,0.06666666666666667,0.11764705882352941,15.0
Sweatshirts,0.5,0.16,0.24242424242424243,25.0
Swimwear,0.0,0.0,0.0,3.0
Tablet Sleeve,0.0,0.0,0.0,1.0
Ties,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
Ties and Cufflinks,0.0,0.0,0.0,0.0
Tights,0.0,0.0,0.0,1.0
Tops,0.45251396648044695,0.6532258064516129,0.5346534653465347,124.0
Track Pants,0.6153846153846154,0.42105263157894735,0.5,19.0
Tracksuits,0.5,1.0,0.6666666666666666,2.0
Travel Accessory,0.0,0.0,0.0,1.0
Trolley Bag,0.0,0.0,0.0,0.0
Trousers,0.8518518518518519,0.6388888888888888,0.7301587301587301,36.0
Trunk,0.14285714285714285,0.25,0.18181818181818182,4.0
Tshirts,0.8502879078694817,0.865234375,0.8576960309777347,512.0
Tunics,0.0,0.0,0.0,8.0
Umbrellas,0.0,0.0,0.0,0.0
Waist Pouch,0.0,0.0,0.0,1.0
Waistcoat,0.0,0.0,0.0,1.0
Wallets,0.7536231884057971,0.8666666666666667,0.8062015503875969,60.0
Watches,0.9411764705882353,0.9765258215962441,0.9585253456221198,213.0
Water Bottle,0.0,0.0,0.0,1.0
Wristbands,0.0,0.0,0.0,0.0
accuracy,0.7324137931034482,0.7324137931034482,0.7324137931034482,0.7324137931034482
macro avg,0.3232737609850056,0.3025255881072743,0.29592922022761653,2900.0
weighted avg,0.7237954848082869,0.7324137931034482,0.7134721633797982,2900.0
