method,validation_accuracy,validation_macro_f1,validation_ece,complexity_parameters,epochs_run
shallow_mlp,0.6717241379310345,0.2804792767066025,0.037988617389366555,9469308,30
deeper_mlp,0.7013793103448276,0.28528480121422967,0.02627201076725434,9486652,23
cnn_ordinary,0.7803448275862069,0.4723141780031617,0.018076211445290473,175804,22
cnn_scheduled,0.8334482758620689,0.5916868917297147,0.017733978834645496,175804,30
cnn_four_blocks_scheduled,0.8710344827586207,0.6664454294515036,0.03931343813394677,684604,30
cnn_narrow_scheduled,0.8603448275862069,0.6444469860629926,0.035496864935447396,261596,30
cnn_capped_scheduled,0.86,0.6264701002961314,0.020106478441378157,405436,28
cnn_wide_scheduled,0.8641379310344828,0.6058478539445028,0.026137334591355803,963772,26
shallow_mlp_lower_lr,0.7420689655172413,0.44320152900303555,0.026717447278828445,9469308,15
deeper_mlp_lower_lr,0.7186206896551725,0.31603020393840225,0.04261906166271916,9486652,18
cnn_continue,0.8703448275862069,0.6648059175247496,0.050316984735686236,684604,8
cnn_continue_weighted,0.87,0.6954006226924646,0.040363389829109426,684604,8
shallow_mlp_64,0.7241379310344828,0.37417894403605967,0.03196049715938238,2367420,16
shallow_mlp_128,0.7413793103448276,0.43119495441635197,0.045410218683296255,4734716,20
deeper_mlp_compact,0.6993103448275862,0.24117401835337873,0.06590138191806857,4733148,20
deeper_mlp_two_layers,0.7324137931034482,0.3783012712188087,0.015553345924307575,9486332,20
