,precision,recall,f1-score,support
Accessory Gift Set,1.0,0.8333333333333334,0.9090909090909091,12.0
Baby Dolls,0.0,0.0,0.0,0.0
Backpacks,0.8333333333333334,0.9259259259259259,0.8771929824561403,54.0
Bangle,1.0,0.07692307692307693,0.14285714285714285,13.0
Basketballs,1.0,0.3333333333333333,0.5,3.0
Belts,0.8392857142857143,0.9038461538461539,0.8703703703703703,52.0
Blazers,0.0,0.0,0.0,1.0
Body Wash and Scrub,0.0,0.0,0.0,0.0
Booties,0.0,0.0,0.0,3.0
Boxers,0.0,0.0,0.0,2.0
Bra,0.9354838709677419,1.0,0.9666666666666667,29.0
Bracelet,0.0,0.0,0.0,4.0
Briefs,0.9777777777777777,0.7857142857142857,0.8712871287128713,56.0
Camisoles,0.0,0.0,0.0,0.0
Capris,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0
Caps,0.9,0.72,0.8,25.0
Casual Shoes,0.5887445887445888,0.7472527472527473,0.6585956416464891,182.0
Churidar,1.0,0.3333333333333333,0.5,3.0
Clothing Set,0.0,0.0,0.0,2.0
Clutches,0.1875,0.2727272727272727,0.2222222222222222,11.0
Compact,0.0,0.0,0.0,0.0
Concealer,0.0,0.0,0.0,0.0
Cufflinks,0.75,0.5,0.6,6.0
Cushion Covers,0.0,0.0,0.0,0.0
Deodorant,0.625,0.6818181818181818,0.6521739130434783,22.0
Dresses,0.3,0.10714285714285714,0.15789473684210525,28.0
Duffel Bag,1.0,0.18181818181818182,0.3076923076923077,11.0
Dupatta,0.0,0.0,0.0,6.0
Earrings,0.0,0.0,0.0,0.0
Eyeshadow,1.0,1.0,1.0,1.0
Flats,0.6666666666666666,0.17142857142857143,0.2727272727272727,35.0
Flip Flops,0.9019607843137255,0.6666666666666666,0.7666666666666667,69.0
Footballs,0.0,0.0,0.0,0.0
Formal Shoes,0.9795918367346939,0.75,0.8495575221238938,64.0
Foundation and Primer,0.0,0.0,0.0,0.0
Fragrance Gift Set,0.16666666666666666,0.125,0.14285714285714285,8.0
Free Gifts,0.0,0.0,0.0,4.0
Gloves,0.0,0.0,0.0,1.0
Handbags,0.8133333333333334,0.7349397590361446,0.7721518987341772,83.0
Hat,0.0,0.0,0.0,0.0
Headband,1.0,1.0,1.0,1.0
Heels,0.6304347826086957,0.8405797101449275,0.7204968944099379,69.0
Highlighter and Blush,0.0,0.0,0.0,0.0
Innerwear Vests,0.6363636363636364,0.4666666666666667,0.5384615384615384,15.0
Ipad,0.0,0.0,0.0,0.0
Jackets,0.5384615384615384,0.3181818181818182,0.4,22.0
Jeans,0.7704918032786885,0.7966101694915254,0.7833333333333333,59.0
Jeggings,1.0,0.5,0.6666666666666666,2.0
Jewellery Set,0.0,0.0,0.0,1.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,1.0,1.0,1.0,1.0
Key chain,0.0,0.0,0.0,1.0
Kurta Sets,0.2,0.5,0.2857142857142857,2.0
Kurtas,0.7021276595744681,0.9166666666666666,0.7951807228915663,108.0
Kurtis,0.16666666666666666,0.2857142857142857,0.21052631578947367,7.0
Laptop Bag,1.0,0.16666666666666666,0.2857142857142857,6.0
Leggings,0.4,0.6666666666666666,0.5,9.0
Lehenga Choli,0.0,0.0,0.0,0.0
Lip Gloss,1.0,1.0,1.0,1.0
Lip Liner,1.0,1.0,1.0,1.0
Lip Plumper,0.0,0.0,0.0,1.0
Lipstick,0.0,0.0,0.0,4.0
Lounge Pants,0.0,0.0,0.0,2.0
Lounge Shorts,0.0,0.0,0.0,4.0
Lounge Tshirts,0.0,0.0,0.0,0.0
Messenger Bag,0.0,0.0,0.0,5.0
Mobile Pouch,0.2,0.5,0.2857142857142857,2.0
Mufflers,1.0,0.25,0.4,4.0
Nail Polish,1.0,1.0,1.0,3.0
Necklace and Chains,0.75,1.0,0.8571428571428571,3.0
Nehru Jackets,0.0,0.0,0.0,0.0
Night suits,1.0,0.1111111111111111,0.2,9.0
Nightdress,0.0,0.0,0.0,1.0
Patiala,1.0,0.25,0.4,4.0
Pendant,0.5,0.5,0.5,2.0
Perfume and Body Mist,0.5454545454545454,0.7272727272727273,0.6233766233766234,33.0
Rain Jacket,0.0,0.0,0.0,0.0
Rain Trousers,0.0,0.0,0.0,0.0
Ring,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0
Rompers,0.0,0.0,0.0,4.0
Rucksacks,0.0,0.0,0.0,0.0
Salwar,0.5,0.5,0.5,2.0
Salwar and Dupatta,0.0,0.0,0.0,1.0
Sandals,0.6944444444444444,0.625,0.6578947368421053,80.0
Sarees,0.75,1.0,0.8571428571428571,18.0
Scarves,0.75,0.3,0.42857142857142855,10.0
Shapewear,0.0,0.0,0.0,0.0
