,precision,recall,f1-score,support
Accessory Gift Set,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Baby Dolls,0.0,0.0,0.0,0.0
Backpacks,0.8333333333333334,0.7407407407407407,0.7843137254901961,54.0
Bangle,0.0,0.0,0.0,13.0
Basketballs,0.0,0.0,0.0,3.0
Belts,0.9583333333333334,0.8846153846153846,0.92,52.0
Blazers,0.0,0.0,0.0,1.0
Body Wash and Scrub,0.0,0.0,0.0,0.0
Booties,1.0,0.3333333333333333,0.5,3.0
Boxers,0.0,0.0,0.0,2.0
Bra,0.9615384615384616,0.8620689655172413,0.9090909090909091,29.0
Bracelet,0.0,0.0,0.0,4.0
Briefs,0.9512195121951219,0.6964285714285714,0.8041237113402062,56.0
Camisoles,0.0,0.0,0.0,0.0
Capris,0.3333333333333333,0.07142857142857142,0.11764705882352941,14.0
Caps,0.6206896551724138,0.72,0.6666666666666666,25.0
Casual Shoes,0.6013071895424836,0.5054945054945055,0.5492537313432836,182.0
Churidar,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
Clothing Set,0.0,0.0,0.0,2.0
Clutches,0.23529411764705882,0.36363636363636365,0.2857142857142857,11.0
Compact,0.0,0.0,0.0,0.0
Concealer,0.0,0.0,0.0,0.0
Cufflinks,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
Cushion Covers,0.0,0.0,0.0,0.0
Deodorant,0.5333333333333333,0.7272727272727273,0.6153846153846154,22.0
Dresses,0.3333333333333333,0.03571428571428571,0.06451612903225806,28.0
Duffel Bag,0.0,0.0,0.0,11.0
Dupatta,0.0,0.0,0.0,6.0
Earrings,0.0,0.0,0.0,0.0
Eyeshadow,0.0,0.0,0.0,1.0
Flats,0.0,0.0,0.0,35.0
Flip Flops,0.7647058823529411,0.5652173913043478,0.65,69.0
Footballs,0.0,0.0,0.0,0.0
Formal Shoes,0.8421052631578947,0.75,0.7933884297520661,64.0
Foundation and Primer,0.0,0.0,0.0,0.0
Fragrance Gift Set,0.0,0.0,0.0,8.0
Free Gifts,0.0,0.0,0.0,4.0
Gloves,0.0,0.0,0.0,1.0
Handbags,0.4748201438848921,0.7951807228915663,0.5945945945945946,83.0
Hat,0.0,0.0,0.0,0.0
Headband,1.0,1.0,1.0,1.0
Heels,0.4959349593495935,0.8840579710144928,0.6354166666666666,69.0
Highlighter and Blush,0.0,0.0,0.0,0.0
Innerwear Vests,0.0,0.0,0.0,15.0
Ipad,0.0,0.0,0.0,0.0
Jackets,0.0,0.0,0.0,22.0
Jeans,0.6617647058823529,0.7627118644067796,0.7086614173228346,59.0
Jeggings,0.0,0.0,0.0,2.0
Jewellery Set,0.0,0.0,0.0,1.0
Jumpsuit,0.0,0.0,0.0,2.0
Kajal and Eyeliner,0.0,0.0,0.0,1.0
Key chain,0.0,0.0,0.0,1.0
Kurta Sets,0.0,0.0,0.0,2.0
Kurtas,0.5628415300546448,0.9537037037037037,0.7079037800687286,108.0
Kurtis,0.0,0.0,0.0,7.0
Laptop Bag,0.0,0.0,0.0,6.0
Leggings,0.1875,0.3333333333333333,0.24,9.0
Lehenga Choli,0.0,0.0,0.0,0.0
Lip Gloss,1.0,1.0,1.0,1.0
Lip Liner,0.0,0.0,0.0,1.0
Lip Plumper,0.0,0.0,0.0,1.0
Lipstick,1.0,0.5,0.6666666666666666,4.0
Lounge Pants,0.0,0.0,0.0,2.0
Lounge Shorts,0.0,0.0,0.0,4.0
Lounge Tshirts,0.0,0.0,0.0,0.0
Messenger Bag,0.0,0.0,0.0,5.0
Mobile Pouch,0.0,0.0,0.0,2.0
Mufflers,0.0,0.0,0.0,4.0
Nail Polish,0.0,0.0,0.0,3.0
Necklace and Chains,1.0,0.3333333333333333,0.5,3.0
Nehru Jackets,0.0,0.0,0.0,0.0
Night suits,0.5,0.2222222222222222,0.3076923076923077,9.0
Nightdress,0.0,0.0,0.0,1.0
Patiala,0.0,0.0,0.0,4.0
Pendant,0.3333333333333333,0.5,0.4,2.0
Perfume and Body Mist,0.5172413793103449,0.45454545454545453,0.4838709677419355,33.0
Rain Jacket,0.0,0.0,0.0,0.0
Rain Trousers,0.0,0.0,0.0,0.0
Ring,0.0,0.0,0.0,0.0
Robe,0.0,0.0,0.0,0.0
Rompers,0.0,0.0,0.0,4.0
Rucksacks,0.0,0.0,0.0,0.0
Salwar,0.0,0.0,0.0,2.0
Salwar and Dupatta,0.0,0.0,0.0,1.0
Sandals,0.6615384615384615,0.5375,0.593103448275862,80.0
Sarees,0.4666666666666667,0.3888888888888889,0.42424242424242425,18.0
Scarves,0.0,0.0,0.0,10.0
Shapewear,0.0,0.0,0.0,0.0
Shirts,0.7523809523809524,0.7417840375586855,0.7470449172576832,213.0
Shoe Accessories,0.0,0.0,0.0,2.0
Shoe Laces,0.0,0.0,0.0,0.0
Shorts,0.45454545454545453,0.425531914893617,0.43956043956043955,47.0
Shrug,0.0,0.0,0.0,0.0
Skirts,0.0,0.0,0.0,6.0
Socks,0.7708333333333334,0.8809523809523809,0.8222222222222222,42.0
Sports Sandals,0.0,0.0,0.0,5.0
Sports Shoes,0.5450236966824644,0.7986111111111112,0.647887323943662,144.0
Stockings,0.0,0.0,0.0,2.0
Stoles,0.0,0.0,0.0,5.0
Sunglasses,0.9782608695652174,1.0,0.989010989010989,90.0
Suspenders,0.0,0.0,0.0,1.0
Sweaters,0.0,0.0,0.0,15.0
Sweatshirts,0.0,0.0,0.0,25.0
Swimwear,0.0,0.0,0.0,3.0
Tablet Sleeve,0.0,0.0,0.0,1.0
Ties,1.0,0.7692307692307693,0.8695652173913043,13.0
Ties and Cufflinks,0.0,0.0,0.0,0.0
Tights,0.0,0.0,0.0,1.0
Tops,0.3821138211382114,0.3790322580645161,0.3805668016194332,124.0
Track Pants,0.5333333333333333,0.42105263157894735,0.47058823529411764,19.0
Tracksuits,1.0,0.5,0.6666666666666666,2.0
Travel Accessory,0.0,0.0,0.0,1.0
Trolley Bag,0.0,0.0,0.0,0.0
Trousers,0.5531914893617021,0.7222222222222222,0.6265060240963856,36.0
Trunk,0.14285714285714285,0.5,0.2222222222222222,4.0
Tshirts,0.7781512605042017,0.904296875,0.8364950316169828,512.0
Tunics,0.0,0.0,0.0,8.0
Umbrellas,0.0,0.0,0.0,0.0
Waist Pouch,0.0,0.0,0.0,1.0
Waistcoat,0.0,0.0,0.0,1.0
Wallets,0.6,0.45,0.5142857142857142,60.0
Watches,0.8380566801619433,0.971830985915493,0.9,213.0
Water Bottle,0.0,0.0,0.0,1.0
Wristbands,0.0,0.0,0.0,0.0
accuracy,0.6717241379310345,0.6717241379310345,0.6717241379310345,0.6717241379310345
macro avg,0.23633953313986644,0.22219871119371173,0.21940717613339067,2900.0
weighted avg,0.6239347650012045,0.6717241379310345,0.6364448251791299,2900.0
