method,validation_accuracy,validation_macro_f1,validation_ece,complexity_parameters,epochs_run
shallow_mlp,0.8124137931034483,0.6037516056984519,0.03906278183747982,9438725,19
deeper_mlp,0.8320689655172414,0.5443774945529596,0.02410051348908193,9478917,26
cnn_ordinary,0.8610344827586207,0.7250454826020726,0.0548727308265094,160453,24
cnn_scheduled,0.8741379310344828,0.7359875507161897,0.017494657286282238,160453,24
cnn_four_blocks_scheduled,0.8986206896551724,0.7908994597825687,0.04443056250440665,654021,30
cnn_narrow_scheduled,0.8927586206896552,0.7723413153949165,0.030694411766940148,231013,26
cnn_capped_scheduled,0.8906896551724138,0.7797923540988709,0.027205975600357743,374853,25
cnn_wide_scheduled,0.886896551724138,0.7791470679159361,0.01674416953119741,933189,19
shallow_mlp_lower_lr,0.8468965517241379,0.7117527943783131,0.020750089143884563,9438725,12
deeper_mlp_lower_lr,0.8182758620689655,0.6176700479165282,0.040827886441658245,9478917,9
cnn_continue,0.896551724137931,0.7844705781485068,0.03969614088535308,654021,5
cnn_continue_weighted,0.8955172413793103,0.7854380378041297,0.036267924575970084,654021,8
shallow_mlp_64,0.8444827586206897,0.6949291237222683,0.021182665033587074,2359685,18
shallow_mlp_128,0.8517241379310345,0.7013149318478415,0.03433297862266674,4719365,15
deeper_mlp_compact,0.8344827586206897,0.6785654092926854,0.0401313633959869,4729221,20
deeper_mlp_two_layers,0.8451724137931035,0.6911768175599706,0.03248276381657042,9470981,20
