epoch,loss_mode,lr,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,ordinary,0.001,0.6320756092088632,0.7587150197774574,0.369284799998986,0.5693050319572975,0.7817241379310345,0.48452333149703
2,ordinary,0.001,0.4877583378586662,0.8177516542826513,0.5285774509150978,0.5922424722539967,0.7644827586206897,0.568229529278445
3,ordinary,0.001,0.43199662450131,0.8432220620309785,0.613730935323611,0.4579790482027777,0.8289655172413793,0.6345036252645893
4,ordinary,0.001,0.3950980560133353,0.8591549295774648,0.6527107839551254,0.3999764860498494,0.86,0.6576560981144048
5,ordinary,0.001,0.3762701367905328,0.8650696831910095,0.6687083591708406,0.4377520955019984,0.8393103448275862,0.659793646431097
6,ordinary,0.001,0.3583888034373968,0.8726849284684485,0.6954202308991918,0.4028121659673493,0.8596551724137931,0.6557775846034861
7,ordinary,0.001,0.3362448719957038,0.879486895124025,0.7109874441604693,0.398030846118927,0.8596551724137931,0.6618981859952032
8,ordinary,0.001,0.3209035437306098,0.8850689438468079,0.7252298848025898,0.3753861946073071,0.8624137931034482,0.7112290370903847
9,ordinary,0.001,0.3083065388484793,0.8891353369561199,0.7367484797432166,0.4190893651699198,0.8496551724137931,0.6264847650537391
10,ordinary,0.001,0.2935955826136494,0.8926841891242467,0.7486052395754105,0.3661591684407201,0.88,0.7432426187898168
11,ordinary,0.001,0.2777149679749947,0.8980814017966064,0.7567546862402199,0.4257652168438352,0.853103448275862,0.7294186845009889
12,ordinary,0.001,0.2674772898276796,0.9031089423681194,0.765742430336716,0.3813651929230525,0.8744827586206897,0.709719107684056
13,ordinary,0.001,0.2578692850736165,0.9061032863849764,0.7728095403495664,0.3615831123138296,0.873448275862069,0.7170542595164897
14,ordinary,0.0005,0.2115725799918522,0.924919596318066,0.8177890523203779,0.338779175117098,0.8920689655172414,0.747898267430115
15,ordinary,0.0005,0.1984700375736092,0.9279509075450076,0.8246367754482792,0.3743664028315708,0.8806896551724138,0.7621677257054149
16,ordinary,0.0005,0.186502515977731,0.93249787438542,0.8417972429443081,0.3316926567307834,0.8948275862068965,0.7544607113069745
17,ordinary,0.0005,0.1741777693155331,0.9360097593434624,0.8471313825409734,0.3564974598637943,0.8972413793103449,0.7742395626121787
18,ordinary,0.0005,0.1617579172132597,0.9414439392259066,0.8621192353291995,0.3596117477992485,0.8903448275862069,0.7441117578966414
19,ordinary,0.0005,0.1536325661868406,0.9456212339654726,0.8706893642181498,0.3885918801406334,0.88,0.7667975803292149
20,ordinary,0.0005,0.1467282429405256,0.9474695944697054,0.8777123861898387,0.5492497412089644,0.8317241379310345,0.6978523626405816
21,ordinary,0.00025,0.1138264556660819,0.9592621344867104,0.9076756148891268,0.3750187683927601,0.8910344827586207,0.7707681561312226
22,ordinary,0.00025,0.1015950625577187,0.9642527078481388,0.9142467323071994,0.3616015730438561,0.8937931034482759,0.7724152683086951
23,ordinary,0.00025,0.0927512356712943,0.9683191009574508,0.925122690404242,0.4025861491005996,0.8944827586206896,0.7553859182020732
24,ordinary,0.000125,0.0737156307067311,0.9753059036634504,0.9368177242387628,0.3848227799144284,0.896551724137931,0.7675172297242393
