method,validation_accuracy,validation_macro_f1,validation_ece,complexity_parameters,epochs_run
shallow_mlp,0.6518218623481782,0.6132322285568707,0.04874480533817037,9438468,14
deeper_mlp,0.6676788124156545,0.6318179062502918,0.054540903814006274,9478852,18
cnn_ordinary,0.6794871794871795,0.6435829289125836,0.0309083394495099,160324,15
cnn_scheduled,0.6953441295546559,0.6881797324069421,0.02023325983168464,160324,20
cnn_four_blocks_scheduled,0.75472334682861,0.7363119542991821,0.030956681400497264,653764,22
cnn_narrow_scheduled,0.74055330634278,0.7280164135435658,0.032717693974131996,230756,24
cnn_capped_scheduled,0.7459514170040485,0.7343989378444975,0.056985675172525875,374596,29
cnn_wide_scheduled,0.7533738191632928,0.737670530813407,0.035251593541519806,932932,30
shallow_mlp_lower_lr,0.6865721997300944,0.6492295007057459,0.04258952170168018,9438468,11
deeper_mlp_lower_lr,0.6767881241565452,0.6421493451142695,0.042704034491106595,9478852,20
cnn_continue,0.7567476383265856,0.7396387643292175,0.026377818191501916,653764,8
cnn_continue_weighted,0.7466261808367072,0.7305348112982335,0.02607578552967785,653764,8
shallow_mlp_64,0.6592442645074224,0.6000565252758103,0.03500174166943863,2359620,6
shallow_mlp_128,0.6997300944669366,0.6578547363614108,0.030841375863262493,4719236,20
deeper_mlp_compact,0.6562078272604588,0.5969965726150587,0.07364616181083053,4729188,11
deeper_mlp_two_layers,0.6869095816464238,0.6458106575598119,0.03932326746533917,9470852,20
