,precision,recall,f1-score,support
Casual,0.9263750541359896,0.9561913276709879,0.9410470743510778,2237.0
Ethnic,0.8728323699421965,0.9096385542168675,0.8908554572271387,166.0
Formal,0.8518518518518519,0.7752808988764045,0.8117647058823529,178.0
Home,0.0,0.0,0.0,0.0
NA,0.0,0.0,0.0,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.7734375,0.6449511400651465,0.7033747779751333,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.9055172413793103,0.9055172413793103,0.9055172413793103,0.9055172413793103
macro avg,0.3804996417700042,0.3651179912032674,0.3718935572706336,2900.0
weighted avg,0.8987124522904287,0.9055172413793103,0.9011843054167209,2900.0
