,precision,recall,f1-score,support
Casual,0.9357880556802873,0.9316048278945016,0.9336917562724014,2237.0
Ethnic,0.8181818181818182,0.9216867469879518,0.8668555240793201,166.0
Formal,0.8135593220338984,0.8089887640449438,0.8112676056338028,178.0
Home,0.0,0.0,0.0,0.0
NA,0.5,0.2,0.2857142857142857,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.7003257328990228,0.7003257328990228,0.7003257328990228,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.8955172413793103,0.8955172413793103,0.8955172413793103,0.8955172413793103
macro avg,0.4186505476438918,0.39584511909182446,0.399761656066537,2900.0
weighted avg,0.8936171109300065,0.8955172413793103,0.8942760968999715,2900.0
