,precision,recall,f1-score,support
Casual,0.9285403050108932,0.9526151095216808,0.940423654015887,2237.0
Ethnic,0.8771929824561403,0.9036144578313253,0.8902077151335311,166.0
Formal,0.8509316770186336,0.7696629213483146,0.8082595870206489,178.0
Home,0.0,0.0,0.0,0.0
NA,0.0,0.0,0.0,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.7545787545787546,0.6710097719869706,0.7103448275862069,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.9048275862068965,0.9048275862068965,0.9048275862068965,0.9048275862068965
macro avg,0.37902707989604684,0.3663224734098101,0.37213730930625266,2900.0
weighted avg,0.8985793839869247,0.9048275862068965,0.9011890563118435,2900.0
