,precision,recall,f1-score,support
Casual,0.9217002237136466,0.9208761734465802,0.9212880143112702,2237.0
Ethnic,0.7766497461928934,0.9216867469879518,0.8429752066115702,166.0
Formal,0.7831325301204819,0.7303370786516854,0.7558139534883721,178.0
Home,0.0,0.0,0.0,0.0
NA,0.0,0.0,0.0,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.6556291390728477,0.6449511400651465,0.6502463054187192,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.8762068965517241,0.8762068965517241,0.8762068965517241,0.8762068965517241
macro avg,0.3485679598999855,0.3575390154612627,0.35225816442554797,2900.0
weighted avg,0.8729113773697441,0.8762068965517241,0.8741433351021756,2900.0
