,precision,recall,f1-score,support
Casual,0.9107838891294933,0.9400983459991059,0.9252089749230092,2237.0
Ethnic,0.7978142076502732,0.8795180722891566,0.836676217765043,166.0
Formal,0.8113207547169812,0.7247191011235955,0.7655786350148368,178.0
Home,0.0,0.0,0.0,0.0
NA,0.0,0.0,0.0,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.7028112449799196,0.5700325732899023,0.6294964028776978,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.8803448275862069,0.8803448275862069,0.8803448275862069,0.8803448275862069
macro avg,0.35808112183074076,0.34604089918908454,0.35077335895339856,2900.0
weighted avg,0.8724271948279585,0.8803448275862069,0.8752100419889183,2900.0
