,precision,recall,f1-score,support
Casual,0.8846641318124208,0.9360751005811354,0.9096437880104257,2237.0
Ethnic,0.6735751295336787,0.7831325301204819,0.724233983286908,166.0
Formal,0.8527131782945736,0.6179775280898876,0.7166123778501629,178.0
Home,0.0,0.0,0.0,0.0
NA,0.0,0.0,0.0,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.6729857819905213,0.46254071661237783,0.5482625482625483,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.8537931034482759,0.8537931034482759,0.8537931034482759,0.8537931034482759
macro avg,0.34265980240346605,0.3110806528226537,0.3220836330455605,2900.0
weighted avg,0.8445505914394826,0.8537931034482759,0.8451619312340966,2900.0
