,precision,recall,f1-score,support
Casual,0.8803945745992602,0.957532409476978,0.9173447537473234,2237.0
Ethnic,0.7926829268292683,0.7831325301204819,0.7878787878787878,166.0
Formal,0.8833333333333333,0.5955056179775281,0.7114093959731543,178.0
Home,0.0,0.0,0.0,0.0
NA,0.0,0.0,0.0,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.7213114754098361,0.42996742671009774,0.5387755102040817,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.8655172413793103,0.8655172413793103,0.8655172413793103,0.8655172413793103
macro avg,0.36419136779685535,0.3073486649205651,0.3283787164225942,2900.0
weighted avg,0.8550703398332264,0.8655172413793103,0.8534217403574195,2900.0
