method,validation_accuracy,validation_macro_f1,validation_ece,complexity_parameters,epochs_run
shallow_mlp,0.8651724137931035,0.3646916139445426,0.025187853533646175,9439753,30
deeper_mlp,0.8655172413793103,0.36942605597541844,0.012319693359835397,9479177,30
cnn_ordinary,0.8831034482758621,0.39628173907131586,0.015930105786899067,160969,23
cnn_scheduled,0.886896551724138,0.39673779784196395,0.014969513395736938,160969,30
cnn_four_blocks_scheduled,0.9048275862068965,0.41865447296953423,0.028082139204288356,655049,30
cnn_narrow_scheduled,0.8986206896551724,0.41230751629859264,0.018656991535219648,232041,23
cnn_capped_scheduled,0.9058620689655172,0.4186923700063832,0.029274451753188803,375881,30
cnn_wide_scheduled,0.906896551724138,0.41979693004647034,0.03464910166016945,934217,30
shallow_mlp_lower_lr,0.8737931034482759,0.4521854312809723,0.023828410495971803,9439753,14
deeper_mlp_lower_lr,0.8537931034482759,0.36234408717625555,0.03447866885826505,9479177,15
cnn_continue,0.9055172413793103,0.4183802519294628,0.038526523781233814,655049,5
cnn_continue_weighted,0.8955172413793103,0.44973186307485413,0.028262618019663087,655049,8
shallow_mlp_64,0.8527586206896551,0.38966042670915546,0.013651307471867272,2359945,11
shallow_mlp_128,0.8579310344827586,0.36297800435361977,0.019973000113306348,4719881,10
deeper_mlp_compact,0.8606896551724138,0.3579067980479183,0.03094781363832537,4729353,20
deeper_mlp_two_layers,0.8682758620689656,0.3673218138997039,0.01785669029786671,9471497,20
