,precision,recall,f1-score,support
Casual,0.8962025316455696,0.9494859186410372,0.9220751031039722,2237.0
Ethnic,0.7701863354037267,0.7469879518072289,0.7584097859327217,166.0
Formal,0.8299319727891157,0.6853932584269663,0.7507692307692307,178.0
Home,0.0,0.0,0.0,0.0
NA,1.0,0.4,0.5714285714285714,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.7363636363636363,0.5276872964169381,0.6148007590132827,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.8737931034482759,0.8737931034482759,0.8737931034482759,0.8737931034482759
macro avg,0.47029827513356093,0.36772826947690784,0.40194260558308653,2900.0
weighted avg,0.8660163870649161,0.8737931034482759,0.8668330789860558,2900.0
