,precision,recall,f1-score,support
Casual,0.8722338204592902,0.9338399642378185,0.9019861830742659,2237.0
Ethnic,0.6243093922651933,0.6807228915662651,0.6512968299711815,166.0
Formal,0.782312925170068,0.6460674157303371,0.7076923076923077,178.0
Home,0.0,0.0,0.0,0.0
NA,0.0,0.0,0.0,5.0
Party,0.0,0.0,0.0,1.0
Smart Casual,0.0,0.0,0.0,4.0
Sports,0.6892655367231638,0.3973941368078176,0.5041322314049587,307.0
Travel,0.0,0.0,0.0,2.0
accuracy,0.8410344827586207,0.8410344827586207,0.8410344827586207,0.8410344827586207
macro avg,0.32979129717974615,0.2953360453713598,0.30723417246030155,2900.0
weighted avg,0.8295443572199096,0.8410344827586207,0.8298607555596215,2900.0
