id,group_key,split
1163,group_0,train
1164,group_1,train
1165,group_2,train
1525,group_3,train
1526,group_4,train
1528,group_5,train
1529,group_6,train
1530,group_7,test
1531,group_8,train
1532,group_9,train
1533,group_10,train
1534,group_11,train
1535,group_12,test
1536,group_13,train
1537,group_14,train
1538,group_15,train
1539,group_16,train
1540,group_17,train
1541,group_18,test
1542,group_19,validation
1543,group_20,train
1544,group_21,test
1545,group_22,train
1546,group_23,train
1547,group_24,train
1548,group_25,train
1549,group_26,validation
1550,group_27,train
1551,group_28,train
1552,group_29,validation
1553,group_30,train
1554,group_31,test
1555,group_32,train
1556,group_33,train
1557,group_34,train
1558,group_35,train
1559,group_36,train
1561,group_37,train
1562,group_38,validation
1563,group_39,train
1565,group_40,train
1566,group_41,validation
1567,group_42,train
1569,group_43,train
1570,group_44,train
1571,group_45,test
1572,group_46,train
1573,group_47,train
1575,group_48,train
1577,group_49,train
1578,group_50,train
1579,group_51,validation
1580,group_52,train
1581,group_53,test
1582,group_54,train
1583,group_55,test
1584,group_56,train
1587,group_57,train
1588,group_58,train
1590,group_59,test
1591,group_60,train
1592,group_61,train
1594,group_62,train
1595,group_63,train
1596,group_64,train
1597,group_65,validation
1598,group_66,train
1599,group_67,validation
1603,group_68,train
1604,group_69,train
1605,group_70,test
1607,group_71,train
1608,group_72,train
1609,group_73,validation
1610,group_74,test
1611,group_75,train
1612,group_76,train
1613,group_77,train
1614,group_78,train
1615,group_79,train
1616,group_80,train
1617,group_81,train
1618,group_82,test
1619,group_83,test
1620,group_84,train
1621,group_85,train
1622,group_86,train
1623,group_87,train
1624,group_88,validation
1625,group_89,train
1626,group_90,train
1627,group_91,train
1628,group_92,train
1634,group_93,train
1635,group_94,train
1636,group_95,train
1637,group_96,train
1638,group_97,train
1641,group_98,test
1642,group_99,train
1644,group_100,train
1645,group_101,train
1646,group_102,test
1647,group_103,test
1648,group_104,train
1649,group_105,train
1651,group_106,test
1653,group_107,train
1654,group_108,train
1656,group_109,train
1657,group_110,train
1658,group_111,train
1662,group_112,train
1668,group_113,validation
1670,group_114,train
1671,group_115,train
1673,group_116,train
1678,group_117,train
1689,group_118,validation
1697,group_119,train
1727,group_120,train
1728,group_121,train
1729,group_122,train
1730,group_123,train
1731,group_124,train
1752,group_125,train
1754,group_126,train
1755,group_127,validation
1756,group_128,train
1757,group_129,test
1758,group_130,train
1759,group_131,train
1760,group_132,train
1762,group_133,test
1763,group_134,validation
1764,group_135,train
1765,group_136,train
1766,group_137,train
1782,group_138,train
1783,group_139,train
1784,group_140,train
1785,group_141,train
1786,group_142,test
1787,group_143,test
1788,group_144,train
1789,group_145,train
1790,group_146,test
1791,group_147,validation
1792,group_148,validation
1793,group_149,train
1794,group_150,validation
1795,group_151,train
1796,group_152,train
1798,group_153,validation
1799,group_154,train
1800,group_155,train
1801,group_156,test
1802,group_157,train
1803,group_158,validation
1804,group_159,train
1805,group_160,train
1806,group_161,test
1807,group_162,validation
1808,group_163,test
1809,group_164,train
1810,group_165,train
1811,group_166,train
1812,group_167,train
1813,group_168,train
1814,group_169,test
1827,group_170,train
1828,group_171,train
1831,group_172,train
1832,group_173,train
1833,group_174,train
1836,group_175,train
1841,group_176,train
1842,group_177,train
1844,group_178,train
1845,group_179,test
1846,group_180,train
1847,group_181,train
1848,group_182,train
1849,group_183,train
1852,group_184,train
1853,group_185,train
1854,group_186,train
1855,group_187,train
1856,group_188,train
1857,group_189,train
1859,group_190,train
1860,group_191,test
1861,group_192,test
1862,group_193,train
1863,group_194,train
1865,group_195,train
1866,group_196,train
1867,group_197,validation
1868,group_198,train
1869,group_199,train
1870,group_200,train
1871,group_201,train
1872,group_202,train
1875,group_203,train
1876,group_204,train
1877,group_205,train
1879,group_206,validation
1880,group_207,test
1881,group_208,train
1882,group_209,train
1883,group_210,train
1884,group_211,test
1885,group_212,test
1886,group_213,test
1887,group_214,train
1888,group_215,validation
1889,group_216,train
1890,group_217,train
1891,group_218,train
1892,group_219,train
1895,group_219,train
1897,group_221,train
1902,group_222,validation
1903,group_223,train
1904,group_224,validation
1905,group_225,train
1906,group_226,validation
1907,group_227,train
1909,group_228,train
1910,group_229,train
1911,group_230,train
1912,group_231,train
1913,group_232,validation
1915,group_233,validation
1916,group_234,train
1917,group_235,validation
1918,group_236,test
1919,group_237,test
1920,group_238,test
1922,group_239,train
1923,group_240,train
1924,group_241,test
1925,group_242,train
1926,group_243,train
1927,group_244,train
1928,group_245,train
1929,group_246,train
1930,group_247,train
1931,group_248,train
1932,group_249,train
1933,group_250,validation
1934,group_251,train
1935,group_252,train
1936,group_253,train
1937,group_254,train
1938,group_255,train
1939,group_256,train
1941,group_257,train
1942,group_258,train
1943,group_259,train
1944,group_260,train
1945,group_261,validation
1946,group_262,validation
1947,group_263,validation
1948,group_264,train
1949,group_265,test
1950,group_266,train
1951,group_267,train
1962,group_268,train
1963,group_269,train
1964,group_270,train
1966,group_271,train
1972,group_272,validation
1973,group_273,train
1976,group_274,test
1977,group_275,test
1978,group_276,train
1981,group_277,train
1982,group_278,validation
1983,group_279,train
1984,group_280,train
1985,group_281,train
1986,group_282,validation
1988,group_283,train
1989,group_284,train
1990,group_285,train
1991,group_286,train
1992,group_287,test
1993,group_288,train
1994,group_289,train
1995,group_290,test
1996,group_291,train
1997,group_292,train
1998,group_293,train
1999,group_294,test
2001,group_295,train
2002,group_296,test
2003,group_297,train
2004,group_298,test
2005,group_299,train
2006,group_300,train
2007,group_301,train
2008,group_302,train
2009,group_303,test
2010,group_304,train
2011,group_305,test
2012,group_306,train
2014,group_307,train
2015,group_308,train
2023,group_309,train
2024,group_310,train
2025,group_311,train
2026,group_312,validation
2027,group_313,train
2028,group_314,train
2029,group_315,train
2030,group_316,test
2031,group_317,validation
2032,group_318,train
2033,group_319,train
2034,group_320,train
2035,group_321,train
2036,group_322,test
2037,group_323,train
2038,group_324,train
2039,group_325,train
2040,group_326,train
2041,group_327,validation
2042,group_328,train
2044,group_329,train
2045,group_330,train
2046,group_331,train
2047,group_332,test
2048,group_333,test
2049,group_334,train
2050,group_335,train
2051,group_336,train
2052,group_337,test
2053,group_338,train
2054,group_339,validation
2055,group_340,train
2056,group_341,train
2057,group_342,validation
2058,group_343,validation
2059,group_344,train
2060,group_345,train
2061,group_346,train
2062,group_347,test
2065,group_348,test
2069,group_349,train
2078,group_350,train
